alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"G","https://atlantaplanit.wabe.org/venues/G/","Grant Park","https://atlantaplanit.wabe.org/venues/grant-park/","Grant Park","404-521-0938","800 Cherokee Ave. SE
ATLANTA, GA 30315","A gift to the city of Atlanta in 1883, Grant Park now welcomes more than two million visitors each year. Today, Grant Park is the oldest surviving city park in Atlanta and encompasses 131.5 acres, including Zoo Atlanta and the Atlanta Cyclorama. The park offers a wide range of amenities including picnic facilities, historical structures, athletic fields, children's play areas, botanical diversity, natural areas and more.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Surface parking lots are located on Boulevard SE (approximately 425 spaces) and Cherokee Avenue (approximately 375 spaces). Parking is also available on streets bordering the park.","null","800 Cherokee Ave. SE
ATLANTA, GA 30315","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/GP_-_park.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Buckhead Library","https://atlantaplanit.wabe.org/venues/buckhead-library/","Buckhead Library","404-814-3500","269 Buckhead Ave. NE
ATLANTA, GA 30305","The Buckhead Library is a branch of the Atlanta-Fulton Public Library System.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available at the venue.","null","269 Buckhead Ave. NE
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/AFPL_-_Buckhead_Library.jpg"
"T","https://atlantaplanit.wabe.org/venues/T/","Technology Square","https://atlantaplanit.wabe.org/venues/technology-square/","Technology Square","null","5th St. and Spring St.
ATLANTA, GA 30308","Located between Spring Street and Techwood Drive in Midtown off of 5th Street.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Limited street parking and pay lots are available surrounding the Square. MARTA: Take the Red/Godl Line to the North Avenue station. Exit onto West Peachtree Street and walk two blocks north.","null","5th St. and Spring St.
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Technology_Square.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Mable House Barnes Amphitheatre","https://atlantaplanit.wabe.org/venues/mable-house-barnes-amphitheatre/","Mable House Barnes Amphitheatre","770-819-7765","5239 Floyd Rd.
MABLETON, GA 30126","The Mable House Barnes Amphitheatre is a publicly owned facility designed to provide an entertainment venue and performing arts programs for citizens of Cobb County and surrounding areas. The Mable House Barnes Amphitheatre is a mid-sized, yet intimate, outdoor venue located in a natural setting off Floyd Road in South Cobb County. The facility has the capacity to host 2,200 people through the use of 156 table seats (each table seats 4), 1,253 fixed seats, and 750+ lawn seats.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","The amphitheatre is on the right behind the Mable House Arts Center. Parking lots open two hours prior to show times. Parking spaces are designated, including disabled parking and parking for motorcycles. Ask the parking attendant for more information.","robert.edwards@cobbcounty.org","5239 Floyd Rd.
MABLETON, GA 30126","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MableHouseBarnes_-_Crowd.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Lassiter Concert Hall","https://atlantaplanit.wabe.org/venues/lassiter-concert-hall/","Lassiter Concert Hall","678-494-7863","2601 Shallowford Rd.
MARIETTA, GA 30066","In January 2013 the Cobb County School District unveiled its brand new concert hall on the Lassiter High School campus. The concert hall was specifically designed for instrumental and choral concerts. Construction is complete with Greek style columns, 1,000 plush cushioned seats and professional acoustics. The concert hall is open for use by all Cobb schools as well as the surrounding community and is the home of the Cobb Wind Symphony.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","ed.thayer@cobbk12.org","2601 Shallowford Rd.
MARIETTA, GA 30066","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/LassiterConcertHall.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","The Basement Theatre","https://atlantaplanit.wabe.org/venues/basement-theatre-the/","The Basement Theatre","404-277-3071","175 West Wieuca Rd. NE
Suite B3
ATLANTA, GA 30342","The Basement Theatre is Buckhead's premiere improvisation theatre and offers weekly shows and classes to perfect your improv skills. The Basement Theatre is a great place to come, relax and laugh.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available behind the building.","info@thebasementtheatre.com","175 West Wieuca Rd. NE
Suite B3
ATLANTA, GA 30342","https://atlantaplanit.wabe.org/wp-content/uploads/2016/12/Basement_Theatre_-_logo.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","St. Mark United Methodist Church","https://atlantaplanit.wabe.org/venues/st-mark-united-methodist-church/","St. Mark United Methodist Church","404-873-2636","781 Peachtree St.
ATLANTA, GA 30308","St. Mark United Methodist Church is located in Midtown.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Limited parking is available.","null","781 Peachtree St.
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/StMarkUnitedMethodist.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","The Woodruff Arts Center","https://atlantaplanit.wabe.org/venues/woodruff-arts-center-the-2/","The Woodruff Arts Center","404-733-4200","1280 Peachtree St. NE
ATLANTA, GA 30309","The Woodruff Arts Center is the heartbeat of Atlanta's arts community. Located in Midtown, The Center offers Atlantans a bold variety of performing and visual arts - both traditional and avant-garde.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Parking is available at the following locations: (most event parking is $15 or less) Woodruff Arts Center Parking Garage, located on Arts Center Way between 15th Street and 16th Street Promenade Garage, located on 15th Street at the intersection of 15th Street and Arts Center Way Colony Square, located at 14th Street and Peachtree Street Midtown Plaza Parking Deck, located on Arts Center Way between 16th Street and West Peachtree Street MARTA: Take either the North or South line to the Arts Center Station. Follow the signs to the Woodruff Arts Center.","null","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Woodruff_-_Exterior.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Decatur Square","https://atlantaplanit.wabe.org/venues/decatur-square/","Decatur Square","404-370-4100","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","Decatur Square in historic downtown Decatur hosts festivals, concerts and other events year-round.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Street parking is available. MARTA: Take the Blue Line to the Decatur Station. All station exits are located in Decatur Square.","info@decaturga.com","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Decatur_-_Concerts_in_the_Square.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Serenbe Community","https://atlantaplanit.wabe.org/venues/serenbe-community/","Serenbe Community","null","CHATTAHOOCHEE HILLS, GA 30268","null","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","null","null","CHATTAHOOCHEE HILLS, GA 30268","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Serenbe-Community.jpg"
"K","https://atlantaplanit.wabe.org/venues/K/","Kibbee Gallery","https://atlantaplanit.wabe.org/venues/kibbee-gallery/","Kibbee Gallery","404-839-0331","688 Linwood Ave. NE
ATLANTA, GA 30306","Kibbee Gallery is an alternative art space in Atlanta for emerging artists.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available.","info@kibbeegallery.com","688 Linwood Ave. NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","New American Shakespeare Tavern","https://atlantaplanit.wabe.org/venues/new-american-shakespeare-tavern/","New American Shakespeare Tavern","404-874-5299","499 Peachtree St. NE
ATLANTA, GA 30308","The New American Shakespeare Tavern is not like other theatres. It is a place out of time - a place of live music, hand-crafted period costumes and outrageous sword fights, with the entire experience centered on the passion and poetry of the spoken word. With an authentic British Pub and a broad selection of Irish ales and premium brews, the Shakespeare Tavern is a place to eat, drink and nourish the soul.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in the Emory University Hospital Midtown Parking Deck, located directly across the street from The Tavern on Peachtree Street. Do not park on Pine Street, in the empty parking lots on Pine Street, or at the meters in front of the Tavern. Handicapped parking is available at the back of the theater, off Renaissance Parkway. MARTA: Take the Red/Gold Line to the Civic Center station. Exit the station and walk north. Turn right onto Pine Street and walk a half block east to Peachtree Street. Cross Peachtree Street and continue north (to the left). The Shakespeare Tavern will be ahead on the right.","boxoffice@shakespearetavern.com","499 Peachtree St. NE
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ASC_-_Venue_Pic.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Dogwood City Art Gallery","https://atlantaplanit.wabe.org/venues/dogwood-city-art-gallery/","Dogwood City Art Gallery","770-574-2822","14 West Alabama St.
TALLAPOOSA, GA 30176","Dogwood City Art Gallery was created in 2012 as a place to give local and regional artists a voice. The gallery has more than 3,500 square feet of display space and combines modern illumination with clear, natural north light. Exhibitions are designed to promote the best works of new and established artists as well as attract those who seek more beautiful surroundings for themselves, their homes or business. The varied media include paintings, drawings, glass, ceramics, jewelry, sculpture, photography and textiles.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available in a lot in front of the gallery.","ljmarquit@dogwoodcityartgallery.com","14 West Alabama St.
TALLAPOOSA, GA 30176","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Dogwood-City-Art-Gallery.jpg"
"O","https://atlantaplanit.wabe.org/venues/O/","OnStage Atlanta, Webber Stage","https://atlantaplanit.wabe.org/venues/onstage-atlanta-webber-stage/","OnStage Atlanta, Webber Stage","404-897-1802","2969 E Ponce de Leon Ave.
DECATUR, GA 30030","Since its founding in 1971, OnStage Atlanta has been producing compelling theater in Atlanta. The O2 Stage seats up to 70 people. OnStage Atlanta also hosts workshops and seminars designed to inspire individual artists, teach aspiring actors, and give opportunities to those merely interested in trying something new.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","info@onstageatlanta.com","2969 E Ponce de Leon Ave.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Onstage_-_color_logo.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","High Museum of Art","https://atlantaplanit.wabe.org/venues/high-museum-of-art-2/","High Museum of Art","404-733-4400","1280 Peachtree St. NE
ATLANTA, GA 30309","From a stately home on Peachtree Street to its current award-winning buildings in a spectacular setting, the High Museum of Art has grown to become the leading art museum in the Southeastern United States with its renowned collection of classic and contemporary art featuring more than 12,000 pieces. A towering atrium soars to four interior levels, with the galleries moving from 18th and 19th century collections near the ground floor to the cutting edge of contemporary art on the upper levels.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available in front of the shop on Highland Row and next door at the Highland Inn lot. Additional street parking is available one block down on Blue Ridge Avenue and on Cleburne Terrace, which is just off Blue Ridge Avenue.","annerandolph.powell@high.org","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/High_-_exterior2.jpg"
